Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW,Kennarten
,,1a,1b,1c,1d,2,3,,
Achillea millefolium,Gewöhnliche Wiesenschafgarbe,,,,,X,,*,6510
Achillea nobilis,Edel-Schafgarbe,,,,,,X,3,
Achillea ptarmica,Sumpf-Schafgarbe,,,,,,X,*,
Aegopodium podagraria,Giersch,X,X,,,,,*,
Agrimonia eupatoria,Gewöhnlicher Odermennig,,X,,,X,,*,
Agrostis capillaris,Rotes Straußgras,,,,,,X,*,6230
Agrostis stolonifera,Weißes Straußgras,X,,X,,,,*,
Agrostis vinealis,Sand-Straußgras,,,,,,X,V,
Ajuga genevensis,Genfer Günsel,,,,,,X,*,
Ajuga reptans,Kriechender Günsel,,,,,X,,*,
Alchemilla glaucescens,Filz-Frauenmantel,,,,,,X,3,6230
Alchemilla monticola,Bergwiesen-Frauenmantel,,,,,,X,*,6510
Alchemilla vulgaris,Spitzlappiger Frauenmantel,,,,,X,,*,
Alchemilla vulgaris agg.,Artengruppe Gewöhnlicher Frauenmantel,,,,,X,,-,
Alchemilla xanthochlora,Gelbgrüner Frauenmantel,,,,,X,,*,6510
Alopecurus pratensis,Wiesen-Fuchsschwanz,X,,,,X,,*,6510
Anemone nemorosa,Busch-Windröschen,,,,,,X,*,
Angelica sylvestris,Wilde Engelwurz,,,,,,X,*,33.20
Anthoxanthum odoratum,Gewöhnliches Ruchgras,,,,,,X,*,6510
Anthriscus sylvestris,Wiesen-Kerbel,X,,,,,,*,
Anthyllis vulneraria,Gewöhnlicher Wundklee,,,,,,X,V,
Aquilegia vulgaris,Gewöhnliche Akelei,,,,,,X,V,
Arabis hirsuta,Rauhe Gänsekresse,,,,,,X,*,6210
Armoracia rusticana,Meerrettich,,,X,,,,*,
Arrhenatherum elatius,Glatthafer,,,,,X,,*,6510
Aster amellus,Kalk-Aster,,,,,,X,V,
Astrantia major,Große Sterndolde,,,,,,X,*,6520
Bellis perennis,Ausdauerndes Gänseblümchen,,,X,,,,*,
Betonica officinalis,Heilziest,,,,,,X,*,6410
Bistorta officinalis,Wiesen-Knöterich,,,,,X,,*,6520
Botrychium lunaria,Echte Mondraute,,,,,,X,2,6230
Brachypodium pinnatum,Fieder-Zwenke,,,,,X,,*,6210
Briza media,Gewöhnliches Zittergras,,,,,,X,*,6510
Bromus erectus,Aufrechte Trespe,,,,,,X,*,6210
Bromus hordeaceus,Weiche Trespe,,,X,,X,,*,
Bromus sterilis,Taube Trespe,,,X,,,,*,
Calamagrostis epigejos,Land-Reitgras,,X,,,,,*,
Campanula glomerata,Büschel-Glockenblume,,,,,,X,V,6212
Campanula patula,Wiesen-Glockenblume,,,,,,X,*,6510
Campanula rapunculus,Rapunzel-Glockenblume,,,,,,X,*,
Campanula rotundifolia,Rundblättrige Glockenblume,,,,,,X,*,6510
Capsella bursa-pastoris,Gewöhnliches Hirtentäschel,,,X,,,,*,
Cardamine pratensis,Wiesen-Schaumkraut,,,,,X,,*,6510
Carex acutiformis,Sumpf-Segge,,,,,X,,*,33.20
Carex brizoides,Zittergras-Segge,,X,,,,,*,
Carex caryophyllea,Frühlings-Segge,,,,,,X,*,6210
Carex flacca,Blau-Segge,,,,,,X,*,33.21
Carex hirta,Behaarte Segge,,,X,,,,*,
Carex leporina,Hasen-Segge,,,,,,X,*,
Carex montana,Berg-Segge,,,,,,X,*,
Carex muricata agg.,Artengruppe Sparrige Segge,,,,,X,,-,
Carex ornithopoda,Vogelfuß-Segge,,,,,,X,*,
Carex pallescens,Bleiche Segge,,,,,,X,*,6230
Carex pilulifera,Pillen-Segge,,,,,,X,*,6230
Carex praecox agg.,Artengruppe Frühe Segge,,,,,,X,-,
Carex sylvatica,Wald-Segge,,,,,X,,*,
Carex tomentosa,Filz-Segge,,,,,,X,3,6411
Carum carvi,Wiesen-Kümmel,,,,,,X,*,6510
Centaurea jacea,Wiesen-Flockenblume,,,,,,X,*,6510
Centaurea montana,Berg-Flockenblume,,,,,,X,*,
Centaurea nigra subsp. nemoralis,Hain-Flockenblume,,,,,,X,*,6510
Centaurea pseudophrygia,Perücken-Flockenblume,,,,,,X,3,6520
Centaurea scabiosa,Skabiosen-Flockenblume,,,,,,X,*,6210
Cerastium brachypetalum,Kleinblütiges Hornkraut,,,,,,X,V,
Cerastium holosteoides,Gewöhnliches Hornkraut,,,,,X,,*,
Chaerophyllum aureum,Gold-Kälberkropf,,X,,,,,*,
Chaerophyllum hirsutum,Berg-Kälberkropf,,X,,,,,*,6520
Cichorium intybus,Gewöhnliche Wegwarte,,,X,,,,*,
Cirsium arvense,Acker-Kratzdistel,X,,X,,,,*,
Cirsium eriophorum,Wollköpfige Kratzdistel,,,X,,,,*,
Cirsium oleraceum,Kohldistel,,,,,X,,*,6510
Cirsium vulgare,Gewöhnliche Kratzdistel,,X,X,,,,*,
Colchicum autumnale,Herbst-Zeitlose,,,,,X,,*,
Convolvulus arvensis,Acker-Winde,,,X,,,,*,
Crepis biennis,Wiesen-Pippau,,,,,X,,*,6510
Crepis capillaris,Grüner Pippau,,,X,,,,*,
Crepis mollis,Weichhaariger Pippau,,,,,,X,3,6520
Cuscuta epithymum,Thymian-Seide,,,,,,X,V,6230
Cynosurus cristatus,Wiesen-Kammgras,,,,,X,,*,
Dactylis glomerata,Wiesen-Knäuelgras,X,,,,X,,*,6510
Danthonia decumbens,Dreizahn,,,,,,X,*,4030
Daucus carota,Wilde Möhre,,,,,,X,*,6510
Deschampsia cespitosa,Rasen-Schmiele,,,,,X,,*,
Dianthus carthusianorum,Karthäuser-Nelke,,,,,,X,V,6212
Elymus repens,Kriechende Quecke,X,,X,,,,*,
Equisetum arvense,Acker-Schachtelhalm,,,X,,,,*,
Erigeron annuus,Einjähriger Feinstrahl,,X,X,,,,*,
Erigeron canadensis,Kanadischer Katzenschweif,,,X,,,,-,
Euphorbia cyparissias,Zypressen-Wolfsmilch,,,,,,X,*,6210
Euphorbia verrucosa,Warzen-Wolfsmilch,,,,,,X,*,6212
Euphrasia officinalis,Wiesen-Augentrost ,,,,,,X,*,
Euphrasia stricta,Steifer Augentrost,,,,,,X,*,
Festuca arundinacea,Rohr-Schwingel,,,,,X,,*,
Festuca filiformis,Dünnblättriger Schafschwingel,,,,,,X,V,6230
Festuca nigrescens,Horst-Rotschwingel,,,,,,X,*,6230
Festuca ovina agg.,Artengruppe Schafschwingel,,,,,,X,-,6210
Festuca pratensis,Wiesen-Schwingel,,,,,X,,*,6510
Festuca rubra,Echter Rotschwingel,,,,,,X,*,6510
Filipendula ulmaria,Mädesüß,,,,,X,,*,33.20
Filipendula vulgaris,Knollige Spierstaude,,,,,,X,3,6211
Fragaria vesca,Wald-Erdbeere,,X,,,,,*,
Galeopsis tetrahit,Gewöhnlicher Hohlzahn,X,X,X,,,,*,
Galium album,Weißes Wiesenlabkraut,,,,,X,,*,6510
Galium mollugo agg.,Artengruppe Wiesenlabkraut,,,,,X,,-,
Galium verum,Echtes Labkraut,,,,,,X,*,6210
Genista sagittalis,Flügel-Ginster,,,,,,X,*,6230
Geranium columbinum,Tauben-Storchschnabel,,,X,,,,*,
Geranium dissectum,Schlitzblättriger Storchschnabel,,,X,,,,*,
Geranium pratense,Wiesen-Storchschnabel,,,,,X,,*,6510
Geranium sylvaticum,Wald-Storchschnabel,,,,,X,,*,6520
Geum rivale,Bach-Nelkenwurz,,,,,,X,*,6510
Geum urbanum,Echte Nelkenwurz,,X,X,,,,*,
Glechoma hederacea,Gundelrebe,X,,,,,,*,
Helianthemum nummularium,Gewöhnliches Sonnenröschen,,,,,,X,V,
Helianthemum nummularium subsp. obscurum,Eiblättriges Sonnenröschen,,,,,,X,*,
Helictotrichon pratense,Echter Wiesenhafer,,,,,,X,V,
Helictotrichon pubescens,Flaumiger Wiesenhafer,,,,,,X,*,6510
Heracleum sphondylium,Wiesen-Bärenklau,X,,,,X,,*,6510
Hieracium pilosella,Kleines Habichtskraut,,,,,,X,*,6230
Holcus lanatus,Wolliges Honiggras,,,,,X,,*,6510
Holcus mollis,Weiches Honiggras,,X,X,,,,*,
Hypericum perforatum,Echtes Johanniskraut,,X,,,,,*,
Hypochaeris radicata,Gewöhnliches Ferkelkraut,,,,,X,,*,6510
Knautia arvensis,Acker-Witwenblume,,,,,,X,*,6510
Koeleria pyramidata,Pyramiden-Kammschmiele,,,,,,X,*,6212
Lamium album,Weiße Taubnessel,X,,X,,,,*,
Lathyrus linifolius,Berg-Platterbse,,,,,,X,*,6520
Lathyrus nissolia,Gras-Platterbse,,,,,,X,2,
Lathyrus pratensis,Wiesen-Platterbse,,,,,X,,*,
Leontodon hispidus,Rauher Löwenzahn,,,,,,X,*,
Leucanthemum ircutianum,Wiesen-Margerite,,,,,,X,*,6510
Leucanthemum vulgare,Frühe Margerite,,,,,,X,d,
Leucanthemum vulgare agg.,Artengruppe Margerite,,,,,,X,-,
Linaria vulgaris,Gewöhnliches Leinkraut,,X,X,,,,*,
Linum catharticum,Purgier-Lein,,,,,,X,*,
Listera ovata,Großes Zweiblatt,,,,,,X,*,
Lolium multiflorum,Vielblütiger Lolch,X,,,X,,,*,
Lolium perenne,Ausdauernder Lolch,X,,,X,,,*,
Lotus corniculatus,Gewöhnlicher Hornklee,,,,,,X,*,6510
Lotus pedunculatus,Sumpf-Hornklee,,,,,,X,*,
Luzula campestris,Hasenbrot,,,,,,X,*,6510
Luzula multiflora,Vielblütiges Hasenbrot,,,,,,X,*,
Lychnis flos-cuculi,Kuckucks-Lichtnelke,,,,,,X,*,6510
Lysimachia nummularia,Pfennigkraut,,,,,X,,*,
Malva moschata,Moschus-Malve,,X,X,,,,*,
Medicago falcata,Sichelklee,,,,,,X,*,
Medicago lupulina,Hopfenklee,,,,,X,,*,
Medicago sativa,Echte Luzerne,,,,X,,,-,
Meum athamanticum,Bärwurz,,,,,,X,V,6230
Microthlaspi perfoliatum,Stengelumfassendes Hellerkraut,,,,,,X,*,
Molinia caerulea,Blaues Pfeifengras,,,,,,X,*,6410
Muscari botryoides,Kleine Traubenhyazinthe,,,,,,X,3,6520
Muscari comosum,Schopfige Traubenhyazinthe,,,,,,X,3,
Muscari neglectum,Übersehene Traubenhyazinthe,,,,,,X,3,
Myosotis palustris,Sumpf-Vergißmeinnicht,,,,,,X,*,
Narcissus radiiflorus,Stern-Narzisse,,,,,,X,2,6520
Nardus stricta,Borstgras,,,,,,X,*,4030
Noccaea caerulescens,Voralpen-Hellerkraut,,,,,X,,*,6520
Onobrychis viciifolia,Futter-Esparsette,,,,,,X,*,6212
Ophioglossum vulgatum,Gewöhnliche Natternzunge,,,,,,X,3,6410
Orchis mascula,Stattliches Knabenkraut,,,,,,X,V,6212
Orchis militaris,Helm-Knabenkraut,,,,,,X,V,6212
Orchis morio,Kleines Knabenkraut,,,,,,X,3,6212
Orchis ustulata,Brand-Knabenkraut,,,,,,X,2,6212
Ornithogalum umbellatum,Dolden-Milchstern,,,,,,X,*,
Ornithopus perpusillus,Mäusewicke,,,,,,X,V,
Orobanche minor,Kleine Sommerwurz,,,,,X,,V,
Pastinaca sativa,Pastinak,,,,,X,,*,
Peucedanum officinale,Arznei-Haarstrang,,,,,,X,3,6411
Phleum pratense,Gewöhnliches Wiesenlieschgras,X,,,X,,,*,
Phyteuma nigrum,Schwarze Teufelskralle,,,,,,X,*,6520
Phyteuma orbiculare,Kugel-Teufelskralle,,,,,,X,3,
Phyteuma spicatum,Ährige Teufelskralle ,,,,,,X,*,
Pimpinella major,Große Pimpernell,,,,,X,,*,6510
Pimpinella saxifraga,Kleine Pimpernell,,,,,,X,*,
Plantago lanceolata,Spitz-Wegerich,,,,,X,,*,
Plantago major,Breit-Wegerich,,,X,,,,*,
Plantago media,Mittlerer Wegerich,,,,,,X,*,6510
Platanthera bifolia,Weiße Waldhyazinthe,,,,,,X,V,6230
Platanthera chlorantha,Berg-Waldhyazinthe,,,,,,X,V,
Poa angustifolia,Schmalblättriges Wiesenrispengras,,,,,X,,*,
Poa annua,Einjähriges Rispengras,,,X,,,,*,
Poa chaixii,Wald-Rispengras,,,,,X,,*,6230
Poa pratensis,Echtes Wiesenrispengras,,,,,X,,*,6510
Poa trivialis,Gewöhnliches Rispengras,X,,,,,,*,
Polygala amarella,Sumpf-Kreuzblume,,,,,,X,V,6210
Polygala comosa,Schopfige Kreuzblume,,,,,,X,*,6210
Polygala vulgaris,Gewöhnliche Kreuzblume,,,,,,X,*,6230
Polygonum aviculare agg.,Artengruppe Vogelknöterich,,,X,,,,-,
Potentilla anserina,Gänse-Fingerkraut,,,X,,,,*,
Potentilla argentea,Silberfingerkraut,,,,,,X,*,
Potentilla erecta,Blutwurz,,,,,,X,*,6230
Potentilla heptaphylla,Rötliches Fingerkraut,,,,,,X,V,6210
Potentilla reptans,Kriechendes Fingerkraut,,X,X,,,,*,
Potentilla sterilis,Erdbeer-Fingerkraut,,,,,,X,*,
Potentilla verna,Frühlings-Fingerkraut,,,,,,X,*,
Primula elatior,Große Schlüsselblume,,,,,,X,*,
Primula veris,Arznei-Schlüsselblume,,,,,,X,V,6510
Prunella grandiflora,Große Brunelle,,,,,,X,V,6212
Prunella laciniata,Weiße Brunelle,,,,,,X,3,6212
Prunella vulgaris,Kleine Brunelle,,,,,X,,*,
Ranunculus aconitifolius,Eisenhutblättriger Hahnenfuß,,,,,,X,*,33.22
Ranunculus acris,Scharfer Hahnenfuß ,,,,,X,,*,6510
Ranunculus auricomus agg.,Goldhahnenfuß,,,,,X,,-,
Ranunculus bulbosus,Knolliger Hahnenfuß,,,,,,X,*,6212
Ranunculus polyanthemos subsp. nemorosus,Wald-Hahnenfuß,,,,,,X,V,6520
Ranunculus repens,Kriechender Hahnenfuß,X,,X,,,,*,
Rhinanthus alectorolophus,Zottiger Klappertopf,,,,,,X,*,6510
Rhinanthus minor,Kleiner Klappertopf,,,,,,X,*,6510
Rhinanthus serotinus,Großer Klappertopf,,,,,,X,G,
Rumex acetosa,Wiesen-Sauerampfer,,,,,X,,*,6510
Rumex crispus,Krauser Ampfer,,,X,,,,*,
Rumex obtusifolius,Stumpfblatt-Ampfer ,,,X,,,,*,
Salvia pratensis,Wiesen-Salbei,,,,,,X,*,6510
Sanguisorba minor,Kleiner Wiesenknopf,,,,,,X,*,6510
Sanguisorba officinalis,Großer Wiesenknopf,,,,,,X,*,6410
Saxifraga granulata,Knöllchen-Steinbrech,,,,,,X,V,6510
Scabiosa columbaria,Tauben-Skabiose,,,,,,X,*,6210
Scorzoneroides autumnalis,Herbst-Löwenzahn,,,X,,,,*,
Senecio erucifolius,Raukenblättriges Greiskraut,,X,X,,,,*,
Senecio jacobaea,Jacobs-Greiskraut,,X,X,,,,*,
Silaum silaus,Wiesensilge,,,,,,X,*,6510
Silene dioica,Tag-Lichtnelke,,,,,X,,*,6520
Silene nutans,Nickendes Leimkraut,,,,,,X,*,
Silene vulgaris,Gewöhnlicher Taubenkropf,,,,,,X,*,
Solidago canadensis,Kanadische Goldrute,,X,,,,,*,
Solidago gigantea,Späte Goldrute,,X,,,,,*,
Solidago virgaurea,Gewöhnliche Goldrute,,,,,,X,*,
Stellaria graminea,Gras-Sternmiere,,,,,X,,*,
Stellaria media,Gewöhnliche Vogelmiere,X,,X,,,,*,
Succisa pratensis,Gewöhnlicher Teufelsabbiß,,,,,,X,*,6410
Taraxacum sectio Ruderalia,Wiesenlöwenzahn,X,,,,X,,*,
Teucrium chamaedrys,Echter Gamander,,,,,,X,*,6210
Thesium pyrenaicum,Wiesen-Leinblatt,,,,,,X,3,6230
Thymus pulegioides,Arznei-Thymian,,,,,,X,*,
Tragopogon orientalis,Orientalischer Wiesenbocksbart,,,,,,X,*,6510
Tragopogon pratensis,Gewöhnlicher Wiesenbocksbart,,,,,,X,*,6510
Tragopogon pratensis agg.,Artengruppe Wiesenbocksbart,,,,,,X,-,
Traunsteinera globosa,Kugelorchis,,,,,,X,1,6520
Trifolium dubium,Kleiner Klee,,,,,X,,*,
Trifolium hybridum,Schweden-Klee,,,X,X,,,*,
Trifolium montanum,Berg-Klee,,,,,,X,3,6210
Trifolium pratense,Rot-Klee,,,,,X,,*,6510
Trifolium repens,Weiß-Klee,,,,,X,,*,
Trisetum flavescens,Gewöhnlicher Goldhafer,,,,,X,,*,6510
Trollius europaeus,Trollblume,,,,,,X,3,6520
Urtica dioica,Große Brennessel,X,X,X,,,,*,
Valeriana officinalis,Arzneibaldrian,,X,,,,,*,
Veronica arvensis,Feld-Ehrenpreis,,,,,X,,*,
Veronica chamaedrys,Gamander-Ehrenpreis,,,,,X,,*,6510
Veronica filiformis,Faden-Ehrenpreis,X,,,,,,*,
Veronica officinalis,Wald-Ehrenpreis,,,,,,X,*,
Veronica serpyllifolia,Quendel-Ehrenpreis,,,X,,,,*,
Veronica teucrium,Großer Ehrenpreis,,,,,,X,*,6212
Vicia angustifolia,Schmalblättrige Futterwicke ,,,,,X,,*,
Vicia cracca,Vogel-Wicke,,,,,X,,*,
Vicia hirsuta,Rauhaarige Wicke,,X,X,,,,*,
Vicia sepium,Zaun-Wicke,,,,,X,,*,
Vicia tetrasperma,Viersamige Wicke,,X,X,,,,*,
Viola canina agg.,Artengruppe Hunds-Veilchen,,,,,,X,-,
Viola riviniana,Hain-Veilchen,,,,,,X,*,